id,state,city,county,title,year_pub_start,year_pub_end,lccn,oclc,issn,owner_producer,url,subscription_req,image_type,full_text_search,date_avail_start,date_avail_end,issues,comments,range_avail,range_pub,year_facets_list
1,MD,Annapolis,Anne Arundel,Evening capital,1884,1910,sn88065721,18068083,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=8445,Yes,JPEG,Yes,03/03/1887,08/06/1887,,,1887-1887,1884-1910,1887
2,MD,Annapolis,Anne Arundel,Evening capital and Maryland gazette,1910,1922,sn88065726,18068278,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=8445,Yes,JPEG,Yes,08/31/1918,01/14/1919,,,1918-1919,1910-1922,1918 1919
3,MD,Annapolis,Anne Arundel,Evening capital,1922,1981,sn83009667,9259920,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=8445,Yes,JPEG,Yes,10/01/1929,12/31/1975,,,1929-1975,1922-1981,1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975
4,MD,Annapolis,Anne Arundel,Evening capital,1922,1981,sn83009667,9259920,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=8449,Yes,JPEG,Yes,05/02/1949,12/18/1977,,,1949-1977,1922-1981,1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977
5,MD,Annapolis,Anne Arundel,The capital,1981,current,sn83009629,9236150,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=8445,Yes,JPEG,Yes,11/08/1987,11/05/2000,,,1987-2000,1981-current,1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
6,MD,Cumberland,Allegany,Cumberland Alleganian,1843,185?,sn85038286,12125967,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=6683,Yes,JPEG,Yes,08/16/1845,07/10/1846,,,1845-1846,1843-185?,1845 1846
7,MD,Cumberland,Allegany,Democratic Alleganian,185?,1861,sn85025242,11611527,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=6684,Yes,JPEG,Yes,01/10/1857,12/17/1859,,,1857-1859,185?-1861,1857 1858 1859
8,MD,Cumberland,Allegany,The Alleganian,1864,1867,sn88065703,18474688,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=6685,Yes,JPEG,Yes,05/10/1864,05/01/1867,,,1864-1867,1864-1867,1864 1865 1866 1867
9,MD,Cumberland,Allegany,Evening times,1892,1916,sn88065713,18474747,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7685,Yes,JPEG,Yes,01/02/1894,07/15/1909,,,1894-1909,1892-1916,1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909
10,MD,Cumberland,Allegany,Cumberland evening times,1916,1988,sn83016637,9958199,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=51223,Yes,JPEG,Yes,02/19/1940,08/31/1977,,,1940-1977,1916-1988,1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977
11,MD,Cumberland,Allegany,The Cumberland news,1938,1988,sn88065739,7604210,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=51224,Yes,JPEG,Yes,11/01/1963,12/31/1977,,,1963-1977,1938-1988,1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977
12,MD,Denton,Caroline,Denton journal,1847,1965,sn84026682,10604387,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=6686,Yes,JPEG,Yes,04/02/1870,05/06/1965,,,1870-1965,1847-1965,1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965
13,MD,Frederick-Town,Frederick,Frederick-Town herald,1802,1832,sn83016295,9672044,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7233,Yes,JPEG,Yes,06/15/1816,01/21/1832,,,1816-1832,1802-1832,1816 1817 1818 1819 1820 1821 1822 1823 1824 1825 1826 1827 1828 1829 1830 1831 1832
14,MD,Frederick,Frederick,Frederick herald,1832,1861,sn83016296,9672130,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7233,Yes,JPEG,Yes,02/04/1832,10/20/1832,,,1832-1832,1832-1861,1832
15,MD,Frederick,Frederick,The weekly news,1883,18??,sn87060389,17278618,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7236,Yes,JPEG,Yes,12/13/1883,12/04/1884,,,1883-1884,1883-18??,1883 1884
16,MD,Frederick,Frederick,The daily news,1883,1890,sn89061523,19980546,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7237,Yes,JPEG,Yes,10/15/1883,08/19/1890,,,1883-1890,1883-1890,1883 1884 1885 1886 1887 1888 1889 1890
17,MD,Frederick,Frederick,The news,1890,2002,sn83016207,9625223,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7237,Yes,JPEG,Yes,08/20/1890,08/31/1977,,,1890-1977,1890-2002,1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977
18,MD,Frederick,Frederick,The news,1890,2002,sn83016207,9625223,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7372,Yes,JPEG,Yes,01/28/1916,02/26/1918,,,1916-1918,1890-2002,1916 1917 1918
19,MD,Frederick,Frederick,The news,1890,2002,sn83016207,9625223,n/a,Ancestry.com Historical Newspaper Collection,http://search.ancestry.com/search/db.aspx?dbid=7234,Yes,JPEG,Yes,06/10/1975,10/20/1975,,Supplement to the Frederick News-Post,1975-1975,1890-2002,1975
